Ls_num,Name,Portfolio,Rank,Year,appointment_begin,appointment_end,Constituency_No,State_name,Poll_No,gender,party,ID,start_source,end_source
17,Shri Hardeep Singh Puri,Housing and Urban Affairs,MoS(IC),2019,30-05-2019,07-07-2021,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Hardeep Singh Puri,Housing and Urban Affairs,CM,2019,07-07-2021,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Kaushal Kishore,Housing and Urban Affairs,MoS,2019,07-07-2021,Current,34,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_34_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Dhotre Sanjay Shamrao,Human Resource Development,MoS,2019,30-05-2019,14-08-2020,6,Maharashtra,0,M,BJP,17_Maharashtra_6_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_2388.pdf
17,Shri Ramesh Pokhriyal Nishank,Human Resource Development,CM,2019,30-05-2019,14-08-2020,5,Uttarakhand,0,M,BJP,17_Uttarakhand_5_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_2388.pdf
17,Dr. L. Murugan,Information and Broadcasting,MoS,2019,07-07-2021,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Anurag Singh Thakur,Information and Broadcasting,CM,2019,07-07-2021,Current,3,Himachal_Pradesh,0,M,BJP,17_Himachal_Pradesh_3_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Prakash Javadekar,Information and Broadcasting,CM,2019,30-05-2019,07-07-2021,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Bishweswar Tudu,Jal Shakti,MoS,2019,07-07-2021,Current,5,Odisha,0,M,BJP,17_Odisha_5_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Gajendra Singh Shekhawat,Jal Shakti,CM,2019,30-05-2019,Current,16,Rajasthan,0,M,BJP,17_Rajasthan_16_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Prahalad Singh Patel,Jal Shakti,MoS,2019,07-07-2021,Current,7,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_7_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Rattan Lal Kataria,Jal Shakti,MoS,2019,30-05-2019,Current,1,Haryana,0,M,BJP,17_Haryana_1_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Bhupender Yadav,Labour and Employment,CM,2019,07-07-2021,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Rameswar Teli,Labour and Employment,MoS,2019,07-07-2021,Current,13,Assam,0,M,BJP,17_Assam_13_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Santosh Kumar Gangwar,Labour and Employment,MoS(IC),2019,30-05-2019,07-07-2021,25,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_25_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Prof. S. P. Singh Baghel,Law and Justice,MoS,2019,07-07-2021,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Kiren Rijiju,Law and Justice,CM,2019,07-07-2021,Current,1,Arunachal_Pradesh,0,M,BJP,17_Arunachal_Pradesh_1_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Ravi Shankar Prasad,Law and Justice,CM,2019,30-05-2019,07-07-2021,30,Bihar,0,M,BJP,17_Bihar_30_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Bhanu Pratap Singh Verma,"Micro, Small and Medium Enterprises",MoS,2019,07-07-2021,Current,45,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_45_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Narayan Tatu Rane,"Micro, Small and Medium Enterprises",CM,2019,07-07-2021,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Nitin Jairam Gadkari,"Micro, Small and Medium Enterprises",CM,2019,30-05-2019,07-07-2021,10,Maharashtra,0,M,BJP,17_Maharashtra_10_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Pratap Chandra Sarangi,"Micro, Small and Medium Enterprises",MoS,2019,30-05-2019,07-07-2021,6,Odisha,0,M,BJP,17_Odisha_6_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Danve Raosaheb Dadarao,Mines,MoS,2019,07-07-2021,Current,18,Maharashtra,0,M,BJP,17_Maharashtra_18_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Pralhad Joshi,Mines,CM,2019,30-05-2019,Current,11,Karnataka,0,M,BJP,17_Karnataka_11_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri John Barla,Minority Affairs,MoS,2019,07-07-2021,Current,2,West_Bengal,0,M,BJP,17_West_Bengal_2_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
